id,distrito,candidato,cargo,frente_alianza,actividad_actual,referente,agrupacion,alineamiento,particularidades,the_geom,cartodb_id,created_at,updated_at
21,Hurlingham,Luis E. Acuña,Intendente,UNA,INTENDENTE,,PJ,Sola,"Asume en 2001 como interino. En 2003 es elegido y en 2007 y 2011, reelegido. En 2013 se alineo con el FR y su hijo Fabrizzio encabezó la lista e hizo la peor performanced del FR en el conurbano.  ",,126,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
21,Hurlingham,Mónica López,Intendente,PROGRESISTAS,,,,,,,127,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
22,Ituzaingo,Alberto Descalzo,Intendente,FPV,INTENDENTE,,PJ,Dominguez,"Asume en el 95 cuando se crea el partido. Fue reelecto en 2003, 2007, y 2011. ",,128,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
22,Ituzaingo,Daniel Larrache,Intendente,FPV,DIR DE AFSCA,Sabbatella,NUEVO ENCUENTRO,Fernandez,"Fue candidato a int en 2011. Antes de la impiugnación promovida por Descalzo, Brancatelli iba a integrar su lista. ",,129,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
22,Ituzaingo,Osvaldo Marasco,Intendente,CAMBIEMOS,EMPRESARIO INMOBILIARIO,Marcos Peña,PRO,Vidal,Fue Sec de Obras Públicas de Descalzo entre 2003 y 2007. ,,130,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
22,Ituzaingo,Gabriel Pozzutto,Intendente,CAMBIEMOS,EMPRESARIO,,PRO - UCR,Vidal,"Dirigente local del PRO, fue asesor de Tagliaferro. La llegada de Marasco lo desplazó. Va a competir en la boleta de Sanz.",,131,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
22,Ituzaingo,Ricardo Sequeiro,Intendente,CAMBIEMOS,PEDIATRA,Sanz,UCR,Vidal,No tiene trayectoria en la función pública. ,,132,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
22,Ituzaingo,Roberto Rocha,Intendente,UNA,CONCEJAL,,FR,Sola,Fue secretario privado de Descalzo. Es apoyado por Sebastián Galmarini el cuñado de Massa. ,,133,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
22,Ituzaingo,Carlos Acuña,Intendente,UNA,CONCEJAL,Caamaño,FR,Sola,"Su padre es dip prov, titular del Sind de Trabajadores de Estaciones de Servicio y amigo de Barrionuevo. ",,134,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
22,Ituzaingo,Nahuel Segovia,Intendente,PROGRESISTAS,,,,,,,135,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
