cabecera,departamento,codigo,the_geom,cartodb_id,created_at,updated_at
SAN VICENTE,SAN VICENTE,06778,0101000020E61000009CCFCD18A8354DC0B42E00500F8A41C0,98,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
SUIPACHA,SUIPACHA,06784,0101000020E61000001923275117DB4DC04C4D00004B5E41C0,99,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
MERLO,MERLO,06539,0101000020E610000016A7E607A75F4DC0B34B00707F5A41C0,100,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
CHIVILCOY,CHIVILCOY,06224,0101000020E6100000E898772848FD4DC0D84D0030447441C0,101,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
BRAGADO,BRAGADO,06112,0101000020E610000066A541AC4E4D4EC09C340060C48341C0,102,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
LAS HERAS,GENERAL LAS HERAS,06329,0101000020E610000082E228F6807F4DC0381AFFBF837441C0,103,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
GENERAL VIAMONTE,GENERAL VIAMONTE,06385,0101000020E61000000EC15BCCDD874EC0A0C7FF4FEB7D41C0,104,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
RANCHOS,GENERAL PAZ,06343,0101000020E61000005658A6E4D32A4DC0D0EEFFFFF9BE41C0,105,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
QUILMES,QUILMES,06658,0101000020E6100000347636D330234DC03062582BBE5E41C0,106,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
ALBERTI,ALBERTI,06021,0101000020E610000000CC815C5A244EC080D4FFCF878341C0,107,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
NAVARRO,NAVARRO,06574,0101000020E6100000CC3D42A13CB34DC08451FF0F868341C0,108,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
OLIVOS,VICENTE LOPEZ,06861,0101000020E6100000CEE4F263C9404DC0E80850BBAE4341C0,109,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
HENDERSON,HIPOLITO YRIGOYEN,06406,0101000020E6100000E4E1BACAAED84EC0807400B0F92242C0,110,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
DAIREAUX,DAIREAUX,06231,0101000020E61000007FA5FB08B0F84EC0546300B0D34E42C0,111,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
GENERAL LA MADRID,GENERAL LA MADRID,06322,0101000020E61000004F8394064CA34EC09CA100707DB442C0,112,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
SAN CARLOS DE BOLIVAR,BOLIVAR,06105,0101000020E61000007C48AFE19F934EC0DC6300E04C2542C0,113,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
BALCARCE,BALCARCE,06063,0101000020E6100000C96AD09F4A184DC0E822003085DF42C0,114,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
AVELLANEDA,AVELLANEDA,06035,0101000020E6100000C0DFE398122B4DC0DC1DB938E15641C0,115,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
SAN ISIDRO,SAN ISIDRO,06756,0101000020E6100000AE1C27D1FB444DC074AFB4087C3E41C0,116,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
VILLA GESELL,VILLA GESELL,06868,0101000020E6100000602E5D5302884CC098080000F3AE42C0,117,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
GUAMINI,GUAMINI,06399,0101000020E6100000C38808FEE53A4FC0D42100D0527142C0,118,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
ENSENADA,ENSENADA,06245,0101000020E610000090A23886ADFC4CC02CEE36770D6C41C0,119,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
MONTE HERMOSO,MONTE HERMOSO,06553,0101000020E61000009177F4B0BEA24EC0E8EAADD2F47A43C0,120,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
BERISSO,BERISSO,06098,0101000020E610000020AAEFBF05ED4CC094080000F37241C0,121,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
GONZALES CHAVES,ADOLFO GONZALES CHAVES,06014,0101000020E6100000701DA895BD244EC0B81100305FF842C0,122,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
TIGRE,TIGRE,06805,0101000020E6100000673FB2915F4E4DC0C4190000593341C0,123,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
CORONEL VIDAL,MAR CHIQUITA,06518,0101000020E61000006682DC11EFD04CC0DC5DFF5F09C042C0,124,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
MAR DEL TUYU,LA COSTA,06420,0101000020E6100000B0329AF095584CC0B7440000D85442C0,125,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
GENERAL CONESA,TORDILLO,06812,0101000020E61000002B6BE0CE3A9C4CC0880700A0C03442C0,126,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
COLON,COLON,06175,0101000020E61000001F93695891844EC0981BE1F43BEC40C0,127,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
VEDIA,LEANDRO N ALEM,06462,0101000020E61000001DCFF4B14CD24EC0948B00C0743F41C0,128,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
PELLEGRINI,PELLEGRINI,06616,0101000020E6100000DE0EE9B0C4964FC058ABEE126E1C42C0,129,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
CARHUE,ADOLFO ALSINA,06007,0101000020E61000008082E3F1AD7A4FC0D038FF6FDF9542C0,130,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
GENERAL ARENALES,GENERAL ARENALES,06294,0101000020E6100000748ECAFA0EA54EC0731C00F0361E41C0,131,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
AMERICA,RIVADAVIA,06679,0101000020E61000001DC8B209588A4FC0E83800E04DD641C0,132,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
CAPILLA DEL SEÑOR,EXALTACION DE LA CRUZ,06266,0101000020E6100000FFF2ABE47D904DC0C82F00B0012841C0,133,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
CAÑUELAS,CAÑUELAS,06134,0101000020E61000005E7AF5F6025C4DC00AFD0230949441C0,134,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
